,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,0.46332850456237795,0.00952240699706652,0.0202333927154541,0.005317545426939773,50,50,1,50,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 50}",-1649.2908464817851,-2010.798924620473,-3738.23771048409,-3785.0523818891734,-1663.8454420912967,-2569.445061113364,982.1056328157769,3341
31,0.4620363712310791,0.004846044303376161,0.02137026786804199,0.005046701047640283,50,50,1,51,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 51}",-1642.4356444407865,-2005.3519306149065,-3715.884646644064,-3810.8620806659483,-1654.5394138839267,-2565.8147432499263,986.911739262957,3315
32,0.48752498626708984,0.011430671513022473,0.022042226791381837,0.0014728423567377702,50,50,1,52,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 52}",-1631.5160972265237,-1989.2498698958923,-3721.971561926331,-3825.6962941924735,-1664.6654692286797,-2566.6198584939802,994.1235233048757,3320
33,0.4870011806488037,0.010570151944018384,0.025598621368408202,0.0037738316454623555,50,50,1,53,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 53}",-1625.26555674978,-1971.9606294644564,-3705.0299863412606,-3847.351676572542,-1692.2172282447332,-2568.3650154745546,994.0406290518256,3331
34,0.5179060935974121,0.010334404757247296,0.02473602294921875,0.0033593076255000525,50,50,1,54,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 54}",-1604.960886382195,-1950.5674533913239,-3691.8427919514043,-3889.845630162324,-1629.950350397964,-2553.4334224570425,1019.5922708790733,3258
35,0.5236031532287597,0.009400685210573884,0.02422480583190918,0.0051090490187232175,50,50,1,55,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 55}",-1578.93641572133,-1933.3783534600668,-3618.352698099239,-3893.208705445069,-1651.6511698858844,-2535.105468522318,1007.4418334415938,3178
36,0.5185348987579346,0.009178666803624481,0.03153252601623535,0.008233871360791992,50,50,1,56,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 56}",-1618.1587925859208,-1947.5691074412,-3642.98038619662,-3875.8805545155046,-1650.4542090451348,-2547.0086099568757,999.2951789686208,3228
37,0.5048788547515869,0.018911779047044153,0.025615596771240236,0.004828680059204467,50,50,1,57,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 57}",-1610.3632196233534,-1975.3351909585494,-3640.7098309264597,-3856.0640097293544,-1650.7248505059313,-2546.63942034873,991.6902118702998,3226
38,0.5014184474945068,0.015582797225309083,0.02322859764099121,0.0030377613139905787,50,50,1,58,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 58}",-1642.8400063894103,-1965.9920336690957,-3625.3487774717732,-3861.209384367487,-1660.0234165553932,-2551.082723690632,983.026150133933,3240
39,0.5048928260803223,0.016871735927459577,0.024445819854736327,0.001038414711456481,50,50,1,59,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 59}",-1677.4131041622027,-1977.4460159035207,-3612.4458864515923,-3846.333665505251,-1651.716321770841,-2553.0709987586815,970.0891300142282,3256
40,0.5111606121063232,0.010947836424387994,0.02449636459350586,0.0050787947755629205,50,50,1,60,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 60}",-1653.0415157931693,-1936.691797187219,-3627.609465630081,-3841.7007845731546,-1668.0530855341967,-2545.419329743564,978.5846921494604,3223
41,0.5415162563323974,0.03643957723186684,0.023454713821411132,0.002946808740588632,50,50,1,61,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 61}",-1644.5889755661144,-1937.3725426462302,-3574.9567635544227,-3834.015130020273,-1681.1949655760268,-2534.4256754726134,964.1495875500977,3174
42,0.568889570236206,0.010584352496680126,0.031755828857421876,0.000627546280786885,50,50,1,62,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 62}",-1647.7718346651043,-1930.6800372966331,-3546.314628915822,-3821.6688576268766,-1644.2917300902463,-2518.145417718936,961.5187257560409,3085
43,0.5972484588623047,0.005958450920648771,0.030510997772216795,0.0027823660759003447,50,50,1,63,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 63}",-1673.159640679421,-1929.1538322331483,-3535.9521981442726,-3820.850342259505,-1660.120688336343,-2523.847340330538,951.832620842436,3118
44,0.5971082210540771,0.003618776845195306,0.025913763046264648,0.003618983083540665,50,50,1,64,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 64}",-1725.0757269386565,-1905.9959235186482,-3583.9006339303246,-3779.3915582019895,-1639.2052192453011,-2526.713812366984,948.9395482334822,3135
45,0.617506742477417,0.01045938087039225,0.03173108100891113,0.003784329826939367,50,50,1,65,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 65}",-1708.1318615859861,-1928.1138044676504,-3646.6313730605557,-3784.6693174030106,-1616.6479051381625,-2536.838852331073,968.7902918930016,3188
46,0.6170939445495606,0.006123818578971766,0.026372098922729494,0.00426427649484169,50,50,1,66,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 66}",-1707.9415836744502,-1921.3332475389002,-3654.427776786034,-3782.6314077341717,-1596.5634570407558,-2532.579494554863,974.7767985569005,3166
47,0.6108391761779786,0.022332838466700967,0.028653573989868165,0.0035623897088544274,50,50,1,67,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 67}",-1740.3698915314617,-1921.2276175160682,-3737.8018399151733,-3794.4420436550013,-1565.9272683283991,-2551.953732189221,997.8722251177928,3246
48,0.6252751350402832,0.01265658614903192,0.028298616409301758,0.003004630067634111,50,50,1,68,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 68}",-1729.6651237772153,-1922.988028020809,-3731.6733215749905,-3786.7409322893195,-1574.1778224545185,-2549.04904562337,994.4041125511383,3234
49,0.6437829494476318,0.007295208168264662,0.026430892944335937,0.002944170057851706,50,50,1,69,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 69}",-1736.0885783276437,-1930.9801959197023,-3754.063725813634,-3821.5617139138812,-1562.7007221445542,-2561.078987223883,1008.6051866363263,3298
50,0.6475818157196045,0.016869125250331962,0.0286956787109375,0.004124696250506965,50,50,1,70,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 70}",-1740.8087826890926,-1936.1924662732304,-3768.57768159004,-3789.8565122971245,-1564.9823022398373,-2560.083549017865,1002.3449832153145,3294
51,0.6402308464050293,0.012971102892496585,0.03129987716674805,0.0017073258253287244,50,50,1,71,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 71}",-1737.5616618857737,-1937.1220361935161,-3755.6758201338366,-3774.2916967351,-1552.8703792110634,-2551.5043188318577,998.2460577919901,3242
52,0.6574129581451416,0.00593139212040933,0.029166221618652344,0.00048329027965832546,50,50,1,72,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 72}",-1714.3386304465428,-1951.1727631306821,-3761.35057942655,-3751.9382047014215,-1544.5268714654562,-2544.6654098341305,997.9763104725754,3221
53,0.6665433406829834,0.015183953430984833,0.029734086990356446,0.0034773989894834943,50,50,1,73,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 73}",-1704.8826095145214,-1942.4407102289401,-3783.7771704412125,-3765.895252063275,-1563.2077978880009,-2552.04070802719,1005.7531598044152,3247
54,0.6536028861999512,0.017238543968996944,0.02892026901245117,0.003888555109483233,50,50,1,74,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 74}",-1700.630159547997,-1956.87633570889,-3775.3947071644116,-3790.8624145469357,-1565.327547815486,-2557.818232956744,1008.3482276923596,3280
55,0.6399243354797364,0.0272760406687836,0.029867887496948242,0.0068560899063616915,50,50,1,75,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 75}",-1701.2436980300595,-1951.0575370885513,-3759.031178164221,-3771.151584224255,-1579.9621821835356,-2552.4892359381242,997.2992832600495,3251
