,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
86,1.3981279373168944,0.2015032455614414,0.049380922317504884,0.0016976758321478407,50,87,"{'max_samples': 50, 'n_estimators': 87}",-1380.1208645057338,-1575.5211818088587,-2955.5642103303035,-3644.61194342174,-2056.184995738459,-2322.4006391610187,856.2394183068938,645
87,1.2233026504516602,0.06008927989933681,0.05818729400634766,0.0045643286014506205,50,88,"{'max_samples': 50, 'n_estimators': 88}",-1387.6636577483864,-1589.1637932282827,-2957.01814177013,-3642.7440066074378,-2034.7582351211727,-2322.269566895082,853.2471559792613,644
88,1.2482378959655762,0.10445280802201047,0.05701279640197754,0.007750481247506787,50,89,"{'max_samples': 50, 'n_estimators': 89}",-1388.192788565861,-1588.1618138752933,-2958.1022928680113,-3644.6008572118794,-2027.1615324493207,-2321.243856994073,854.5572431636336,640
89,1.2170746326446533,0.07842643466752043,0.06037459373474121,0.007984418735864989,50,90,"{'max_samples': 50, 'n_estimators': 90}",-1393.1055901706172,-1593.5981635492665,-2971.874546315255,-3627.1695032318676,-1996.065595571167,-2316.3626797676343,851.5037001875475,619
90,1.2721249103546142,0.09777384853717573,0.06350860595703126,0.013895034081165136,50,91,"{'max_samples': 50, 'n_estimators': 91}",-1387.1669650329075,-1598.78856243677,-2946.5427636750474,-3645.354325315747,-2010.7825615233771,-2317.72703559677,852.6468112374332,625
91,1.2161012649536134,0.04538840026039676,0.04833765029907226,0.003236230273766508,50,92,"{'max_samples': 50, 'n_estimators': 92}",-1376.166816711932,-1591.9497726642592,-2931.064706026686,-3652.384892491476,-2010.1107755586186,-2312.3353926905943,856.185188903564,606
92,1.1504125118255615,0.01995469811984747,0.0497011661529541,0.004979509767495255,50,93,"{'max_samples': 50, 'n_estimators': 93}",-1373.3227626439725,-1598.989113823373,-2897.4082030807567,-3641.520905882665,-2021.3678437147566,-2306.521765829105,846.6575551152757,595
93,1.1857441425323487,0.01723873903919699,0.05180621147155762,0.0021386298845699325,50,94,"{'max_samples': 50, 'n_estimators': 94}",-1362.7372921389838,-1610.250394916361,-2898.1654900311373,-3622.167450162252,-2011.309295599244,-2300.925984569595,841.8411556300905,577
94,1.1906621932983399,0.021089991590484414,0.0580388069152832,0.01101325628578265,50,95,"{'max_samples': 50, 'n_estimators': 95}",-1352.9523988943572,-1615.8102874277017,-2904.9962789780766,-3620.259516245847,-2029.7280513952392,-2304.7493065882445,842.2653448886547,591
95,1.432856845855713,0.07455545458255339,0.06178750991821289,0.007752607641319408,50,96,"{'max_samples': 50, 'n_estimators': 96}",-1358.3436251561757,-1586.0963229777342,-2892.117624526966,-3644.2304243259596,-2016.7765575747533,-2299.5129109123177,852.5430470503225,573
96,1.4600844383239746,0.11519230817630023,0.05576176643371582,0.004166914964661279,50,97,"{'max_samples': 50, 'n_estimators': 97}",-1348.0693560497155,-1586.702595267598,-2925.3447645139377,-3634.430065257202,-2001.6623711554544,-2299.2418304487815,857.4062372920038,572
97,1.3289595603942872,0.04648934437049029,0.055607843399047854,0.006693369997965032,50,98,"{'max_samples': 50, 'n_estimators': 98}",-1338.9871234804082,-1605.7874496706459,-2926.336995649531,-3648.685739126179,-1998.2123670209917,-2303.6019349895514,861.131694301584,585
98,1.4536625385284423,0.11010541581563314,0.08395781517028808,0.02728325387818048,50,99,"{'max_samples': 50, 'n_estimators': 99}",-1324.622031829548,-1602.8770049911636,-2916.3297284746823,-3643.0389318179573,-1977.8698776722863,-2292.9475149571276,863.073309230134,557
99,1.530991554260254,0.18963908096776275,0.07511844635009765,0.021267062434118876,50,100,"{'max_samples': 50, 'n_estimators': 100}",-1318.1687607581932,-1614.041865760009,-2928.4197952284967,-3672.7123385894315,-1974.52171191677,-2301.57289445058,874.0372410670647,580
100,1.774825382232666,0.2570736643075595,0.06238532066345215,0.0066196846519704505,50,101,"{'max_samples': 50, 'n_estimators': 101}",-1315.1315469927654,-1624.0244064281046,-2933.211073751422,-3677.4193888202412,-1956.8258193222962,-2301.3224470629657,876.6879813714497,578
101,1.4899571418762207,0.2004272430608568,0.06318244934082032,0.004485441476826771,50,102,"{'max_samples': 50, 'n_estimators': 102}",-1307.9552086277572,-1638.4857845119082,-2935.1373249928533,-3656.084798039923,-1950.915026460206,-2297.7156285265296,870.167059068753,569
