,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,0.35103578567504884,0.009445147282903583,0.006373262405395508,0.0021205493966306305,0.01,2,56,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 56}",-1910.6435610398505,-2477.916638491187,-4757.327692009903,-4569.614405519098,-1992.958763277264,-3141.6922120674603,1258.9604540447974,1004
52,0.340654182434082,0.013636057323809951,0.005921459197998047,0.003648736431344616,0.01,2,57,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 57}",-1890.2242435295545,-2456.9139601213183,-4747.516968361498,-4555.2557002291005,-1984.244059720692,-3126.8309863924324,1260.9924788699925,998
53,0.34038701057434084,0.008523592998091748,0.007207202911376953,0.004884064952867485,0.01,2,58,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 58}",-1878.2583482041675,-2443.437054558538,-4737.92108287743,-4533.293703341506,-1976.3058506753537,-3113.843207931399,1258.7751386192565,995
54,0.3457802772521973,0.00471392179061434,0.004957008361816406,0.0018392376318735887,0.01,2,59,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 59}",-1858.5407108173172,-2427.754645486234,-4709.563651369034,-4505.076440120381,-1968.5842216949427,-3093.9039338975817,1252.0372028850504,991
55,0.34865455627441405,0.008389149525495892,0.0070801258087158205,0.0026741241863716546,0.01,2,60,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 60}",-1847.0612904783666,-2408.1043679882596,-4700.295466004289,-4483.422905025816,-1959.192088432267,-3079.6152235858,1250.8192901955792,987
56,0.35954923629760743,0.0044653478028466075,0.007600212097167968,0.0028094655928737936,0.01,2,61,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 61}",-1823.9930838228581,-2391.8501230707107,-4678.992256155858,-4470.314794535661,-1936.0202944485704,-3060.234110406732,1252.8041510555604,983
57,0.3530464172363281,0.00399416956812368,0.005695438385009766,0.00491609477208702,0.01,2,62,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 62}",-1812.7329360531428,-2376.771230971284,-4670.047660056656,-4438.823039844349,-1927.0558644854893,-3045.086146282184,1248.866159484496,979
58,0.350484037399292,0.00921734532764347,0.009268808364868163,0.004113546201219768,0.01,2,63,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 63}",-1794.1331638706301,-2358.414772601908,-4646.588223137552,-4418.100925489874,-1904.724250522119,-3024.392267124417,1247.7710924572361,973
59,0.4634066104888916,0.029420254647315104,0.007353734970092773,0.004520388407460452,0.01,2,64,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 64}",-1783.5364552232677,-2344.0655413722484,-4637.93207895144,-4393.984568886787,-1897.1091258052481,-3011.3255540477985,1245.1325216898272,969
60,0.44017672538757324,0.04978731689258422,0.007189035415649414,0.003844154814112713,0.01,2,65,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 65}",-1763.2733696843322,-2330.1187580160813,-4625.8226148554395,-4381.0981950398045,-1875.6085340981922,-2995.18429433877,1248.447455786521,963
